DateTime	Actor	Recipient	Behavior	Category	Duration	Point
05/07/2019 13:05	PETOULETTE	MALI	Mounting	Affiliative	0	YES
05/07/2019 13:05	PETOULETTE	MALI	Grooming	Affiliative	18	NO
05/07/2019 13:06	PETOULETTE	MALI	Grooming	Affiliative	4	NO
05/07/2019 13:06	MUSE	MALI	Grooming	Affiliative	4	NO
05/07/2019 13:06	MALI	PETOULETTE	Playing with	Affiliative	3	NO
05/07/2019 13:06	MALI		Other	Other	25	NO
05/07/2019 13:06	MALI	LIPS	Playing with	Affiliative	43	NO
05/07/2019 13:07	MALI	HARLEM	Presenting	Affiliative	0	YES
05/07/2019 13:07	MALI		Other	Other	8	NO
05/07/2019 13:07	MALI	FELIPE	Presenting	Affiliative	0	YES
05/07/2019 13:07	NEKKE	PETOULETTE	Grooming	Affiliative	43	NO
05/07/2019 13:08	NEKKE		Other	Other	40	NO
05/07/2019 13:09	NEKKE	FEYA	Grooming	Affiliative	10	NO
05/07/2019 13:09	NEKKE	FEYA	Embracing	Affiliative	60	NO
05/07/2019 13:10	NEKKE	FEYA	Grooming	Affiliative	74	NO
05/07/2019 13:11	NEKKE	FEYA	Embracing	Affiliative	55	NO
05/07/2019 13:11	PETOULETTE	NEKKE	Grooming	Affiliative	10	NO
05/07/2019 13:12	VIOLETTE	NEKKE	Grooming	Affiliative	10	NO
05/07/2019 13:12	MUSE		Other	Other	23	NO
05/07/2019 13:13	FELIPE	MUSE	Mounting	Affiliative	0	YES
05/07/2019 13:13	MUSE	FELIPE	Grooming	Affiliative	251	NO
05/07/2019 13:17	MUSE		Other	Other	25	NO
08/07/2019 10:55	NEKKE	MALI	Playing with	Affiliative	34	NO
08/07/2019 10:55	NEKKE	FEYA	Playing with	Affiliative	24	NO
08/07/2019 10:56	NEKKE	FEYA	Grooming	Affiliative	15	NO
08/07/2019 10:56	NEKKE	MUSE	Resting	Affiliative	7	NO
08/07/2019 10:56	NEKKE	MALI	Resting	Affiliative	7	NO
08/07/2019 10:56	NEKKE	FEYA	Resting	Affiliative	7	NO
08/07/2019 10:56	NEKKE	MALI	Playing with	Affiliative	7	NO
08/07/2019 10:56	MALI	NEKKE	Grooming	Affiliative	11	NO
08/07/2019 10:56	MALI	NEKKE	Grooming	Affiliative	5	NO
08/07/2019 10:56	MUSE	NEKKE	Grooming	Affiliative	5	NO
